2026-01-06 13:53:26,151 | INFO | LoginPage | Navigating to URL: https://www.saucedemo.com
2026-01-06 13:53:27,565 | INFO | LoginPage | Filling input with text: standard_user
2026-01-06 13:53:27,565 | INFO | LoginPage | Waiting for locator to be visible
2026-01-06 13:53:27,680 | INFO | LoginPage | Filling input with text: secret_sauce
2026-01-06 13:53:27,680 | INFO | LoginPage | Waiting for locator to be visible
2026-01-06 13:53:27,728 | INFO | LoginPage | Clicking on element
2026-01-06 13:53:27,728 | INFO | LoginPage | Waiting for locator to be visible
2026-01-06 13:53:27,894 | INFO | InventoryPage | Waiting for URL to contain: /inventory.html
2026-01-06 13:53:27,964 | INFO | InventoryPage | Waiting for locator to be visible
2026-01-06 13:53:27,994 | INFO | InventoryPage | Clicking on element
2026-01-06 13:53:27,994 | INFO | InventoryPage | Waiting for locator to be visible
2026-01-06 13:53:28,090 | INFO | InventoryPage | Clicking on element
2026-01-06 13:53:28,090 | INFO | InventoryPage | Waiting for locator to be visible
2026-01-06 13:53:28,152 | INFO | CartPage | Waiting for locator to be visible
