2026-01-05 15:32:24,400 | INFO | LoginPage | Navigating to URL: https://www.saucedemo.com
2026-01-05 15:32:25,202 | INFO | LoginPage | Filling input with text: standard_user
2026-01-05 15:32:25,203 | INFO | LoginPage | Waiting for locator to be visible
2026-01-05 15:32:25,288 | INFO | LoginPage | Filling input with text: secret_sauce
2026-01-05 15:32:25,288 | INFO | LoginPage | Waiting for locator to be visible
2026-01-05 15:32:25,328 | INFO | LoginPage | Clicking on element
2026-01-05 15:32:25,328 | INFO | LoginPage | Waiting for locator to be visible
2026-01-05 15:32:25,473 | INFO | InventoryPage | Waiting for URL to contain: /inventory.html
2026-01-05 15:32:25,503 | INFO | InventoryPage | Waiting for locator to be visible
2026-01-05 15:32:25,534 | INFO | InventoryPage | Clicking on element
2026-01-05 15:32:25,534 | INFO | InventoryPage | Waiting for locator to be visible
2026-01-05 15:32:25,619 | INFO | InventoryPage | Clicking on element
2026-01-05 15:32:25,619 | INFO | InventoryPage | Waiting for locator to be visible
2026-01-05 15:32:25,729 | INFO | CartPage | Waiting for locator to be visible
