2025-12-17 15:45:51,058 | INFO | LoginPage | Navigating to URL: https://www.saucedemo.com
2025-12-17 15:45:51,456 | INFO | LoginPage | Filling input with text: standard_user
2025-12-17 15:45:51,457 | INFO | LoginPage | Waiting for locator to be visible
2025-12-17 15:45:51,532 | INFO | LoginPage | Filling input with text: secret_sauce
2025-12-17 15:45:51,532 | INFO | LoginPage | Waiting for locator to be visible
2025-12-17 15:45:51,566 | INFO | LoginPage | Clicking on element
2025-12-17 15:45:51,566 | INFO | LoginPage | Waiting for locator to be visible
2025-12-17 15:45:51,656 | INFO | InventoryPage | Waiting for URL to contain: /inventory.html
2025-12-17 15:45:51,695 | INFO | InventoryPage | Waiting for locator to be visible
2025-12-17 15:45:51,709 | INFO | InventoryPage | Clicking on element
2025-12-17 15:45:51,710 | INFO | InventoryPage | Waiting for locator to be visible
2025-12-17 15:45:51,759 | INFO | InventoryPage | Clicking on element
2025-12-17 15:45:51,759 | INFO | InventoryPage | Waiting for locator to be visible
2025-12-17 15:45:51,814 | INFO | CartPage | Waiting for locator to be visible
